UF,Sexo,Idade,Cor,Anos de Estudo,Renda
Rondônia,Masculino,23,Parda,12,800
Rondônia,Feminino,23,Branca,12,1150
Rondônia,Feminino,35,Parda,15,880
Rondônia,Masculino,46,Branca,6,3500
Rondônia,Feminino,47,Parda,9,150
Rondônia,Feminino,34,Parda,12,790
Rondônia,Masculino,57,Parda,12,3150
Rondônia,Feminino,60,Parda,12,1700
Rondônia,Feminino,50,Preta,14,1800
Rondônia,Masculino,26,Parda,12,1150
Rondônia,Feminino,46,Parda,12,3000
Rondônia,Feminino,49,Parda,6,2500
Rondônia,Feminino,52,Branca,6,1200
Rondônia,Masculino,38,Parda,12,2000
Rondônia,Masculino,45,Branca,12,2000
Rondônia,Masculino,34,Branca,16,6000
Rondônia,Feminino,43,Parda,10,1050
Rondônia,Masculino,53,Parda,16,7000
Rondônia,Masculino,57,Branca,12,2000
Rondônia,Feminino,62,Parda,12,1150
Rondônia,Masculino,69,Parda,1,3030
Rondônia,Feminino,41,Parda,16,4000
Rondônia,Masculino,34,Parda,5,788
Rondônia,Masculino,25,Parda,12,1000
Rondônia,Masculino,33,Parda,9,800
Rondônia,Feminino,44,Parda,5,788
Rondônia,Masculino,33,Branca,16,1600
Rondônia,Masculino,65,Branca,12,1700
Rondônia,Masculino,33,Parda,14,2000
Rondônia,Masculino,32,Parda,12,2400
Rondônia,Masculino,43,Parda,5,3000
Rondônia,Masculino,30,Parda,1,920
Rondônia,Masculino,26,Branca,10,1300
Rondônia,Masculino,52,Branca,15,2000
Rondônia,Masculino,62,Parda,1,1300
Rondônia,Masculino,64,Amarela,5,600
Rondônia,Masculino,31,Parda,7,1200
Rondônia,Masculino,63,Branca,3,1000
Rondônia,Feminino,40,Branca,9,1000
Rondônia,Masculino,47,Preta,9,1500
Rondônia,Masculino,34,Branca,7,900
Rondônia,Masculino,33,Parda,6,900
Rondônia,Masculino,63,Parda,6,0
Rondônia,Feminino,40,Parda,2,300
Rondônia,Masculino,41,Parda,6,1600
Rondônia,Masculino,28,Branca,10,1500
Rondônia,Feminino,32,Parda,12,750
Rondônia,Masculino,44,Branca,1,800
Rondônia,Feminino,38,Branca,12,3600
Rondônia,Masculino,41,Branca,4,1500
Rondônia,Masculino,62,Parda,8,3000
Rondônia,Masculino,37,Parda,7,2300
Rondônia,Masculino,41,Branca,12,1500
