endereco;descricao;area_m2;quartos;banheiros;vagas_garagem;valor_imovel;valor_condominio;valor_iptu;link;bairro;cidade
Rua Eurico Cruz;Cobertura duplex, com excelente metragem muito bem aproveitada. 1º Pavimento composto por: Sala ampla com 2 ambientes, sala de jantar privativa, copa cozinha, área de serviço com dependência completa, 2 quartos sendo 1 suíte, 1 banheiro social. 2º Pavimento composto por: sala dividida em 2 ambientes, 2 quartos com banheiro canadense, varanda extensa com vista livre. 2 vagas na escritura.  Portaria 24 horas, playground, salão de festas, sistema de segurança, 2 elevadores.;264;4;4;2;4700000;3126;1115;https://www.zapimoveis.com.br/imovel/venda-cobertura-4-quartos-com-churrasqueira-jardim-botanico-zona-sul-rio-de-janeiro-rj-264m2-id-2638911170/;Jardim Botânico; Rio de Janeiro
Rua Doutor Romualdo;Se você procura um apartamento amplo, confortável e com uma localização privilegiada, acabou de encontrar.  Perto de variado comércio local, escolas, redes de transportes, esse apartamento de 3 quartos, com 1 suíte, uma sala dois ambientes integrada a uma boa área externa, escritório, banheiro social, cozinha planejada com forno, cooktop, depurador, área de serviço e uma vaga de garagem coberta e numerada, espera por você e sua família.  Venha morar em uma das melhores localizações do bairro.  Sobre o condomínio: ESCADA;160;3;3;1;690000;420;2620;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-sao-mateus-juiz-de-fora-mg-160m2-id-2636787896/;São Mateus; Juiz de Fora
Rua Pitangui;Apartamento à venda na Rua Pitangui, Tatuape - Sao Paulo, SP  - Preço: R$ 1756000.00  - IPTU/Ano: R$ 6000.00  - Preço/m²: R$ 10707.32  - Condomínio: R$ 1650.00   Sobre o Imóvel:  - Área 164 m²  - Quartos: 3  - Banheiros: 0  - Vagas na garagem: 3  - Andar: 10  - Elevador no prédio: Sim   Detalhes:  - Total de andares: 27.0  - Aptos por andar: 2.0  - Tipo de Vaga: Escritura  - Orientação: None  - Sol: Manhã  - Código do imóvel: 81467  - Versão: 2307   Conhece alguém querendo vender um imóvel? Indique para a EmCasa e ganhe dinheiro. Saiba mais em emcasa.com/indique-imoveis;164;3;3;3;1756000;1650;6000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-tatuape-zona-leste-sao-paulo-sp-164m2-id-2645606531/;Tatuapé; São Paulo
Avenida Marina;Casa - Padrão em Mongaguá, Vila Atlântica *** ATENÇÃO!!! LEIA A DESCRIÇÃO DO ANUNCIO E ANOTE A REFERNCIA DO IMÓVEL***  CASA EM MONGAGUA, LOCALIZADA NO BAIRRO VILA ATLANTICA, ISOLADA, LADO MORRO, COMPOSTA POR 2 DORMITÓRIOS, 2 BANHEIROS SOCIAIS, SALA DE ESTAR, COZINHA, GARAGEM COBERTA, CHURRASQUEIRA, DUCHA DE PRAIA, BANHEIRO EXTERNO, QUINTA, AREA DE SERVIÇO, PONTO COMERCIAL.  AREA DO TERRENO: 10X28=280M² AREA UTIL: 130M² AREA DO COMERCIO: 5X8=40M² ESCRITURA DEFINITIVA  REFERENCIA DO IMOVEL: 9562;130;2;1;4;275000;0;1300;https://www.zapimoveis.com.br/imovel/venda-predio-2-quartos-centro-mongagua-sp-130m2-id-2645533691/;Vila Ac; Mongaguá
Não informado;"DESCRIÇÃO DO IMÓVEL CHÁCARA PARA VENDA NO BAIRRO AGENOR DE CAMPOS, LOCALIZADO LADO SERRA NA CIDADE DE MONGAGUÁ / SP. ÁREA TOTAL DE 821,00 M², ÁREA CONSTRUÍDA COM 88,00 M².    - Distância do praia: 4 km  - Distância da rodovia: 3 km  -Lazer: Área Gourmet, Churrasqueira, Fogão e forno a lenha, Piscina.  -Detalhes: 2 dormitórios, sendo 1 suíte, possui 1 banheiro, 1 sala, 1 cozinha, 4 vagas de garagem.  -Características: Rua de Terra.  -Documentação: Contrato + IPTU.  -VALOR DO IMÓVEL R$ 289.000,00; ANALISA CARRO COMO PARTE DO PAGAMENTO";88;2;2;4;289000;0;1111111;https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-piscina-agenor-de-campos-mongagua-sp-88m2-id-2645225868/;Balneário Agenor de Campos; Mongaguá
Rua Noel de Oliveira Campos;- Apartamentos com 3 e 2 Dormitórios  - 1 ou 2 vagas COBERTAS - Sala 2 ambientes - Varanda com Churrasqueira  C O N T A T O 12 9 9 2 1 1-2 4 5 4  Lazer Equipado e Decorado: - Academia - Brinquedoteca - Cascata - Coworking - Churrasqueira - Deck Solarium - Espaço Mulher - Espaço Zen  - Estação de Alongamento - Estação Fitness Melhor Idade  - Estação Fitness - Espelho D’água - Espaço Mamãe - Fonte Iluminada - Hidro - Lounge c/ Churrasqueira - Oficina de Bike - Parquinho - Piscina Adulta e Infantil - Prainha - Praça da Fogueira  - Pergolado - Pista de caminhada - Pet Care - Pet Place - Praça para jogos de Tabuleiro - Praça Pomar - Playstation place - Quadra de Esportes - Redário - Sala de Jogos Juvenil  - Sala de Jogos Adulto - Sala de Estudos - Sauna c/ Área de Descanso - Salões de Festas  Localização Privilegiada, próximo a Faculdade Humanitas, EMBRAER, INPE, DCTA e com fácil acesso à via Cambuí, via Dutra e Rodovia dos Tamoios.  Conheça hoje mesmo o Decorado 12 9 9 2 1 1 2 4 5 4;65;3;2;2;414533;480;1000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-parque-residencial-flamboyant-sao-jose-dos-campos-sp-65m2-id-2645243051/;Parque Residencial Flamboyant; São José dos Campos
Rua Fernando Caron;APARTAMENTO À VENDA 02 DORMS COM SUÍTE NO CONDOMÍNIO ALTOS DA BELLA VISTA EM SUMARÉ. Apartamento de canto no 14º andar com sala de TV, varanda gourmet, sol da manhã, living e cozinha em conceito aberto, 01 banheiro social, 02 dormitórios (sendo 01 suíte), infraestrutura para ar condicionado. Possui 01 vaga de garagem. Possui 02 elevadores. Condomínio com lazer completo, 03 piscinas, 02 espaços gourmet com churrasqueira e forno de pizza. Excelente oportunidade! Avaliamos carro como entrada. Agende sua visita e conheça esse lindo imóvel. Nós cuidaremos de toda parte do financiamento, para você não precisar se preocupar, pois, trabalhamos com todos os principais bancos (Caixa, Banco do Brasil, Itaú, Bradesco e Santander).;60;2;2;1;236700;300;30;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-chacara-santa-antonieta-sumare-sp-60m2-id-2645407507/;Chácara Santa Antonieta (Nova Veneza); Sumaré
Rua Maurício Ricardo;TERRENO 250m² NO JARDIM SÃO FELIPE EM HORTOLÂNDIA Financiamento em aberto, fácil transferência. Excelente oportunidade! Avaliamos carro como entrada. Agende sua visita e conheça esse lindo imóvel. Nós cuidaremos de toda parte do financiamento, para você não precisar se preocupar, pois, trabalhamos com todos os principais bancos (Caixa, Banco do Brasil, Itaú, Bradesco e Santander).;210;0;0;0;219700;0;10;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-sao-felipe-hortolandia-sp-210m2-id-2645403740/;Jardim São Felipe; Hortolândia
Avenida Marina;Casa - Padrão em Mongaguá, Vila Atlântica **ATENÇÃO! LEIA A DESCRIÇÃO DO ANUNCIO E ANOTE A REFERÊNCIA DO IMÓVEL.**  CASA NOVA EM MONGAGUÁ , LOCALIZADA NO BAIRRO VILA ATlÂNTICA , MEDINDO 70M² QUADRADOS . POSSUI 2 DORMITÓRIOS SENDO 1 COM SUITE , BANHEIRO SOCIAL , SALA AMPLA , GARAGEM PARA 2 CARROS COBERTA . QUINTAL COM INFRAESTRUTURA QUE DISPÕE DE : CHURRASQUEIRA , DUCHA DE PRAIA , PISCINA . PARA MAIOR SEGURANÇA E TRANQUILIDADE O IMÓVEL POSSUI SISTEMA DE ALARME .  **REFERÊNCIA DO IMÓVEL** 9259;80;2;1;2;299990;0;1000;https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-centro-mongagua-sp-80m2-id-2645540773/;Vila Ac; Mongaguá
Rua Paula Ney;Mais uma grande oportunidade na Paschoal Imoveis. *Casa Geminada Ocian Praia Grande  *Excelente Localização proximo de tudo.. *Casa com 92 m2 de area construida  *Sala 2 Ambientes  *Cozinha  *Area de Serviço  *Wc Social  *2 Vagas de Garagem  *Espaço Gourmet com churrasqueira  *Valor do Imovel 390 mil a vista  *Aceita Financiamento Bancario  *Falar com o corretor Antonio Carlos creci 175616  *Contato Whats  *PASCHOAL CORRETOR DE IMOVEIS LITORAL Especializado em Imoveis no litoral da baixada santista. Lancamentos em construcao, apartamentos, casas, kits, e coberturas, com certeza temos o imovel novo ou usado que voce deseja.   Casa Geminada 2 Quarto lado praia Cidade Ocian em Praia Grande excelente localização proximo de tudo.  CASA COM 92 m² - em VILA ASSUNCAO em PRAIA GRANDE  Composição: 2 Dormitórios Sendo 1 Suíte 2 Banheiros com 2 vagas de Garagem  Caracteristicas da Casa : Acessibilidade,Garagem Privativa,Água Individual,Espaço Gourmet,Churrasqueira Caracteristicas da Casa : Cozinha Americana,Box Blindex,Sala de TV Acabamentos da Casa : Piso Frio,Pintura Latex,Azulejo até o Teto,Janelas de Alumínio Aceita Financiamento Direto com a Construtora;92;2;2;2;390000;0;278;https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-churrasqueira-vila-assuncao-praia-grande-sp-92m2-id-2645263974/;Ocian; Praia Grande
